ts_id,category,model,train_end,test_start,test_end,mape
C1038,Category 3,naive,2016-07-01,2016-08-01,2017-07-01,0.22635224078053498
C1038,Category 3,ARIMA,2016-07-01,2016-08-01,2017-07-01,0.22635224078053498
C1038,Category 3,ETS,2016-07-01,2016-08-01,2017-07-01,0.22635224078053498
C1038,Category 3,seasonal naive,2016-07-01,2016-08-01,2017-07-01,0.22635224078053498
C1038,Category 3,naive,2016-01-01,2016-02-01,2017-01-01,0.21249669340326038
C1038,Category 3,ARIMA,2016-01-01,2016-02-01,2017-01-01,0.21249669340326038
C1038,Category 3,ETS,2016-01-01,2016-02-01,2017-01-01,0.21249669340326038
C1038,Category 3,seasonal naive,2016-01-01,2016-02-01,2017-01-01,0.21249669340326038
C1038,Category 3,naive,2015-07-01,2015-08-01,2016-07-01,0.14116827502789492
C1038,Category 3,ARIMA,2015-07-01,2015-08-01,2016-07-01,0.14116827502789492
C1038,Category 3,ETS,2015-07-01,2015-08-01,2016-07-01,0.14116827502789492
C1038,Category 3,seasonal naive,2015-07-01,2015-08-01,2016-07-01,0.14116827502789492
C1038,Category 3,naive,2015-01-01,2015-02-01,2016-01-01,0.21624231796917479
C1038,Category 3,ARIMA,2015-01-01,2015-02-01,2016-01-01,0.21624231796917479
C1038,Category 3,ETS,2015-01-01,2015-02-01,2016-01-01,0.21624231796917479
C1038,Category 3,seasonal naive,2015-01-01,2015-02-01,2016-01-01,0.21624231796917479
C2716,Category 3,naive,2016-07-01,2016-08-01,2017-07-01,0.05961228600774244
C2716,Category 3,ARIMA,2016-07-01,2016-08-01,2017-07-01,0.05961228600774244
C2716,Category 3,ETS,2016-07-01,2016-08-01,2017-07-01,0.05961228600774244
C2716,Category 3,seasonal naive,2016-07-01,2016-08-01,2017-07-01,0.05961228600774244
C2716,Category 3,naive,2016-01-01,2016-02-01,2017-01-01,0.0428285314553959
C2716,Category 3,ARIMA,2016-01-01,2016-02-01,2017-01-01,0.0428285314553959
C2716,Category 3,ETS,2016-01-01,2016-02-01,2017-01-01,0.0428285314553959
C2716,Category 3,seasonal naive,2016-01-01,2016-02-01,2017-01-01,0.0428285314553959
C2716,Category 3,naive,2015-07-01,2015-08-01,2016-07-01,0.05079224895496528
C2716,Category 3,ARIMA,2015-07-01,2015-08-01,2016-07-01,0.05079224895496528
C2716,Category 3,ETS,2015-07-01,2015-08-01,2016-07-01,0.05079224895496528
C2716,Category 3,seasonal naive,2015-07-01,2015-08-01,2016-07-01,0.05079224895496528
C2716,Category 3,naive,2015-01-01,2015-02-01,2016-01-01,0.053760943330360626
C2716,Category 3,ARIMA,2015-01-01,2015-02-01,2016-01-01,0.053760943330360626
C2716,Category 3,ETS,2015-01-01,2015-02-01,2016-01-01,0.053760943330360626
C2716,Category 3,seasonal naive,2015-01-01,2015-02-01,2016-01-01,0.053760943330360626
C6022,Category 1,naive,2016-07-01,2016-08-01,2017-07-01,0.20592440797452213
C6022,Category 1,drift,2016-07-01,2016-08-01,2017-07-01,0.20592440797452213
C6022,Category 1,naive,2016-01-01,2016-02-01,2017-01-01,0.29578725601655503
C6022,Category 1,drift,2016-01-01,2016-02-01,2017-01-01,0.29578725601655503
