product_class,Month,sales_volume
C1002,2013-01-01,43660.0
C1002,2013-02-01,42340.0
C1002,2013-03-01,49176.0
C1002,2013-04-01,47835.0
C1002,2013-05-01,50915.0
C1002,2013-06-01,48985.0
C1002,2013-07-01,51188.0
C1002,2013-08-01,55728.0
C1002,2013-09-01,50247.0
C1002,2013-10-01,48847.0
C1002,2013-11-01,48249.0
C1002,2013-12-01,54899.0
C1002,2014-01-01,58462.207
C1002,2014-02-01,50747.0
C1002,2014-03-01,61094.709
C1002,2014-04-01,56398.344
C1002,2014-05-01,51182.218
C1002,2014-06-01,59548.717
C1002,2014-07-01,63451.824
C1002,2014-08-01,71752.316
C1002,2014-09-01,67506.352
C1002,2014-10-01,67807.381
C1002,2014-11-01,67927.9
C1002,2014-12-01,73300.756
C1002,2015-01-01,68973.397
C1002,2015-02-01,66715.435
C1002,2015-03-01,74773.945
C1002,2015-04-01,69096.729
C1002,2015-05-01,72605.482
C1002,2015-06-01,67586.474
C1002,2015-07-01,71436.302
C1002,2015-08-01,77367.975
C1002,2015-09-01,71397.409
C1002,2015-10-01,75890.258
C1002,2015-11-01,77060.812
C1002,2015-12-01,83081.364
C1002,2016-01-01,80713.344
C1002,2016-02-01,75829.61
C1002,2016-03-01,79640.188
C1002,2016-04-01,81639.136
C1002,2016-05-01,82293.997
C1002,2016-06-01,72488.804
C1002,2016-07-01,80551.673
C1002,2016-08-01,75411.729
C1002,2016-09-01,72400.012
C1002,2016-10-01,77478.744
C1002,2016-11-01,77616.983
C1002,2016-12-01,84688.107
C1002,2017-01-01,80371.163
C1002,2017-02-01,73357.37
C1002,2017-03-01,81928.583
C1002,2017-04-01,83175.081
C1002,2017-05-01,82981.29
C1002,2017-06-01,79885.571
C1002,2017-07-01,92547.681
C1003,2013-01-01,10203.0
C1003,2013-02-01,9169.0
C1003,2013-03-01,10428.0
C1003,2013-04-01,9714.0
C1003,2013-05-01,10489.0
C1003,2013-06-01,10528.0
C1003,2013-07-01,10064.0
C1003,2013-08-01,9741.0
C1003,2013-09-01,10615.0
C1003,2013-10-01,10220.0
C1003,2013-11-01,9732.0
C1003,2013-12-01,10218.0
C1003,2014-01-01,10117.0
C1003,2014-02-01,9275.0
C1003,2014-03-01,10146.0
C1003,2014-04-01,9300.0
C1003,2014-05-01,9472.0
C1003,2014-06-01,9235.0
C1003,2014-07-01,9227.0
C1003,2014-08-01,10164.0
C1003,2014-09-01,9348.0
C1003,2014-10-01,9706.0
C1003,2014-11-01,9888.0
C1003,2014-12-01,9123.0
C1003,2015-01-01,9947.0
C1003,2015-02-01,8765.0
C1003,2015-03-01,4152.0
C1003,2015-04-01,7124.0
C1003,2015-05-01,6481.0
C1003,2015-06-01,7854.0
C1003,2015-07-01,8092.0
C1003,2015-08-01,7587.0
C1003,2015-09-01,7666.0
C1003,2015-10-01,8081.0
C1003,2015-11-01,7586.0
C1003,2015-12-01,8443.0
C1003,2016-01-01,8297.0
C1003,2016-02-01,8255.0
C1003,2016-03-01,7770.0
C1003,2016-04-01,9195.0
C1003,2016-05-01,8544.0
C1003,2016-06-01,8007.0
C1003,2016-07-01,8634.0
C1003,2016-08-01,8559.0
C1003,2016-09-01,7723.0
C1003,2016-10-01,7823.0
C1003,2016-11-01,7881.0
C1003,2016-12-01,8799.0
C1003,2017-01-01,8098.0
C1003,2017-02-01,6817.0
C1003,2017-03-01,7417.0
